STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,REF_AREA,Reference area,MEASURE,Measure,SECTOR,Institutional sector,STANDARD_REVENUE,Revenue category,CTRY_SPECIFIC_REVENUE,Country-specific revenue category,UNIT_MEASURE,Unit of measure,FREQ,Frequency of observation,TIME_PERIOD,Time period,OBS_VALUE,Observation value,OBS_STATUS,Observation status,UNIT_MULT,Unit multiplier,REVENUE_CODE,Revenue code,DECIMALS,Decimals
DATAFLOW,OECD.CTP.TPS:DSD_REV_AFRICA@DF_REVCMR(2.0),Cameroon - tax and non-tax revenues,I,CMR,Cameroon,TAX_REV,Tax revenue,S13,General government,T_6000,Other taxes,_T,Total,XAF,CFA franc - BEAC,A,Annual,1997,,0,,A,Normal value,6,Millions,6000,,0,Zero
DATAFLOW,OECD.CTP.TPS:DSD_REV_AFRICA@DF_REVCMR(2.0),Cameroon - tax and non-tax revenues,I,CMR,Cameroon,TAX_REV,Tax revenue,S13,General government,T_5111,Value added taxes (VAT),_T,Total,XAF,CFA franc - BEAC,A,Annual,1997,,0,,A,Normal value,6,Millions,5111,,0,Zero
DATAFLOW,OECD.CTP.TPS:DSD_REV_AFRICA@DF_REVCMR(2.0),Cameroon - tax and non-tax revenues,I,CMR,Cameroon,TAX_REV,Tax revenue,S13,General government,T_4600,Other recurrent taxes on property,_T,Total,XAF,CFA franc - BEAC,A,Annual,1997,,0,,A,Normal value,6,Millions,4600,,0,Zero
DATAFLOW,OECD.CTP.TPS:DSD_REV_AFRICA@DF_REVCMR(2.0),Cameroon - tax and non-tax revenues,I,CMR,Cameroon,TAX_REV,Tax revenue,S13,General government,T_2420,"Social security contributions (SSC) unallocable between employees, employers and self-employed or non-employed, income tax basis",_T,Total,XAF,CFA franc - BEAC,A,Annual,1997,,0,,A,Normal value,6,Millions,2420,,0,Zero
DATAFLOW,OECD.CTP.TPS:DSD_REV_AFRICA@DF_REVCMR(2.0),Cameroon - tax and non-tax revenues,I,CMR,Cameroon,TAX_REV,Tax revenue,S13,General government,T_5122,Profits of fiscal monopolies,_T,Total,XAF,CFA franc - BEAC,A,Annual,1997,,0,,A,Normal value,6,Millions,5122,,0,Zero
DATAFLOW,OECD.CTP.TPS:DSD_REV_AFRICA@DF_REVCMR(2.0),Cameroon - tax and non-tax revenues,I,CMR,Cameroon,TAX_REV,Tax revenue,S13,General government,T_4300,"Estate, inheritance and gift taxes",_T,Total,XAF,CFA franc - BEAC,A,Annual,1997,,0,,A,Normal value,6,Millions,4300,,0,Zero
DATAFLOW,OECD.CTP.TPS:DSD_REV_AFRICA@DF_REVCMR(2.0),Cameroon - tax and non-tax revenues,I,CMR,Cameroon,TAX_REV,Tax revenue,S13,General government,T_5130,Unallocable between general taxes and taxes on specific goods and services,_T,Total,XAF,CFA franc - BEAC,A,Annual,1997,,0,,A,Normal value,6,Millions,5130,,0,Zero
DATAFLOW,OECD.CTP.TPS:DSD_REV_AFRICA@DF_REVCMR(2.0),Cameroon - tax and non-tax revenues,I,CMR,Cameroon,TAX_REV,Tax revenue,S13,General government,T_5127,Other taxes on international trade and transactions,_T,Total,XAF,CFA franc - BEAC,A,Annual,1997,,0,,A,Normal value,6,Millions,5127,,0,Zero
DATAFLOW,OECD.CTP.TPS:DSD_REV_AFRICA@DF_REVCMR(2.0),Cameroon - tax and non-tax revenues,I,CMR,Cameroon,TAX_REV,Tax revenue,S13,General government,T_5220,"Non-recurrent taxes on use of goods, or on permission to use goods, or perform activities",_T,Total,XAF,CFA franc - BEAC,A,Annual,1997,,0,,A,Normal value,6,Millions,5220,,0,Zero
DATAFLOW,OECD.CTP.TPS:DSD_REV_AFRICA@DF_REVCMR(2.0),Cameroon - tax and non-tax revenues,I,CMR,Cameroon,TAX_REV,Tax revenue,S13,General government,T_3000,Taxes on payroll and workforce,_T,Total,XAF,CFA franc - BEAC,A,Annual,1997,,0,,A,Normal value,6,Millions,3000,,0,Zero
DATAFLOW,OECD.CTP.TPS:DSD_REV_AFRICA@DF_REVCMR(2.0),Cameroon - tax and non-tax revenues,I,CMR,Cameroon,TAX_REV,Tax revenue,S13,General government,T_3000,Taxes on payroll and workforce,_T,Total,XAF,CFA franc - BEAC,A,Annual,1998,,0,,A,Normal value,6,Millions,3000,,0,Zero
DATAFLOW,OECD.CTP.TPS:DSD_REV_AFRICA@DF_REVCMR(2.0),Cameroon - tax and non-tax revenues,I,CMR,Cameroon,TAX_REV,Tax revenue,S13,General government,T_5130,Unallocable between general taxes and taxes on specific goods and services,_T,Total,XAF,CFA franc - BEAC,A,Annual,1998,,0,,A,Normal value,6,Millions,5130,,0,Zero
DATAFLOW,OECD.CTP.TPS:DSD_REV_AFRICA@DF_REVCMR(2.0),Cameroon - tax and non-tax revenues,I,CMR,Cameroon,TAX_REV,Tax revenue,S13,General government,T_5127,Other taxes on international trade and transactions,_T,Total,XAF,CFA franc - BEAC,A,Annual,1998,,0,,A,Normal value,6,Millions,5127,,0,Zero
DATAFLOW,OECD.CTP.TPS:DSD_REV_AFRICA@DF_REVCMR(2.0),Cameroon - tax and non-tax revenues,I,CMR,Cameroon,TAX_REV,Tax revenue,S13,General government,T_5220,"Non-recurrent taxes on use of goods, or on permission to use goods, or perform activities",_T,Total,XAF,CFA franc - BEAC,A,Annual,1998,,0,,A,Normal value,6,Millions,5220,,0,Zero
DATAFLOW,OECD.CTP.TPS:DSD_REV_AFRICA@DF_REVCMR(2.0),Cameroon - tax and non-tax revenues,I,CMR,Cameroon,TAX_REV,Tax revenue,S13,General government,T_4300,"Estate, inheritance and gift taxes",_T,Total,XAF,CFA franc - BEAC,A,Annual,1998,,0,,A,Normal value,6,Millions,4300,,0,Zero
DATAFLOW,OECD.CTP.TPS:DSD_REV_AFRICA@DF_REVCMR(2.0),Cameroon - tax and non-tax revenues,I,CMR,Cameroon,TAX_REV,Tax revenue,S13,General government,T_5122,Profits of fiscal monopolies,_T,Total,XAF,CFA franc - BEAC,A,Annual,1998,,0,,A,Normal value,6,Millions,5122,,0,Zero
DATAFLOW,OECD.CTP.TPS:DSD_REV_AFRICA@DF_REVCMR(2.0),Cameroon - tax and non-tax revenues,I,CMR,Cameroon,TAX_REV,Tax revenue,S13,General government,T_4100,Recurrent taxes on immovable property,_T,Total,XAF,CFA franc - BEAC,A,Annual,1998,,0,,A,Normal value,6,Millions,4100,,0,Zero
DATAFLOW,OECD.CTP.TPS:DSD_REV_AFRICA@DF_REVCMR(2.0),Cameroon - tax and non-tax revenues,I,CMR,Cameroon,TAX_REV,Tax revenue,S13,General government,T_2420,"Social security contributions (SSC) unallocable between employees, employers and self-employed or non-employed, income tax basis",_T,Total,XAF,CFA franc - BEAC,A,Annual,1998,,0,,A,Normal value,6,Millions,2420,,0,Zero
DATAFLOW,OECD.CTP.TPS:DSD_REV_AFRICA@DF_REVCMR(2.0),Cameroon - tax and non-tax revenues,I,CMR,Cameroon,TAX_REV,Tax revenue,S13,General government,T_2120,"Social security contributions (SSC) by employees, income tax basis",_T,Total,XAF,CFA franc - BEAC,A,Annual,1998,,0,,A,Normal value,6,Millions,2120,,0,Zero
DATAFLOW,OECD.CTP.TPS:DSD_REV_AFRICA@DF_REVCMR(2.0),Cameroon - tax and non-tax revenues,I,CMR,Cameroon,TAX_REV,Tax revenue,S13,General government,T_5112,Sales taxes,_T,Total,XAF,CFA franc - BEAC,A,Annual,1998,,0,,A,Normal value,6,Millions,5112,,0,Zero
DATAFLOW,OECD.CTP.TPS:DSD_REV_AFRICA@DF_REVCMR(2.0),Cameroon - tax and non-tax revenues,I,CMR,Cameroon,TAX_REV,Tax revenue,S13,General government,T_5213,"Recurrent taxes on use of goods, or on permission to use goods or perform activities, other than motor vehicles",_T,Total,XAF,CFA franc - BEAC,A,Annual,1998,,0,,A,Normal value,6,Millions,5213,,0,Zero
DATAFLOW,OECD.CTP.TPS:DSD_REV_AFRICA@DF_REVCMR(2.0),Cameroon - tax and non-tax revenues,I,CMR,Cameroon,TAX_REV,Tax revenue,S13,General government,T_4200,Recurrent taxes on net wealth,_T,Total,XAF,CFA franc - BEAC,A,Annual,1998,,0,,A,Normal value,6,Millions,4200,,0,Zero
DATAFLOW,OECD.CTP.TPS:DSD_REV_AFRICA@DF_REVCMR(2.0),Cameroon - tax and non-tax revenues,I,CMR,Cameroon,TAX_REV,Tax revenue,S13,General government,T_5125,Taxes on investment goods,_T,Total,XAF,CFA franc - BEAC,A,Annual,1998,,0,,A,Normal value,6,Millions,5125,,0,Zero
DATAFLOW,OECD.CTP.TPS:DSD_REV_AFRICA@DF_REVCMR(2.0),Cameroon - tax and non-tax revenues,I,CMR,Cameroon,TAX_REV,Tax revenue,S13,General government,T_5300,"Unallocable between taxes on production, sale, transfer, leasing and delivery of goods and rendering of services and taxes on use of goods, or on permission to use goods, or perform activities",_T,Total,XAF,CFA franc - BEAC,A,Annual,1998,,0,,A,Normal value,6,Millions,5300,,0,Zero
DATAFLOW,OECD.CTP.TPS:DSD_REV_AFRICA@DF_REVCMR(2.0),Cameroon - tax and non-tax revenues,I,CMR,Cameroon,TAX_REV,Tax revenue,S13,General government,T_6000,Other taxes,_T,Total,XAF,CFA franc - BEAC,A,Annual,1998,,0,,A,Normal value,6,Millions,6000,,0,Zero
DATAFLOW,OECD.CTP.TPS:DSD_REV_AFRICA@DF_REVCMR(2.0),Cameroon - tax and non-tax revenues,I,CMR,Cameroon,TAX_REV,Tax revenue,S13,General government,T_5111,Value added taxes (VAT),_T,Total,XAF,CFA franc - BEAC,A,Annual,1998,,0,,A,Normal value,6,Millions,5111,,0,Zero
DATAFLOW,OECD.CTP.TPS:DSD_REV_AFRICA@DF_REVCMR(2.0),Cameroon - tax and non-tax revenues,I,CMR,Cameroon,TAX_REV,Tax revenue,S13,General government,T_4600,Other recurrent taxes on property,_T,Total,XAF,CFA franc - BEAC,A,Annual,1998,,0,,A,Normal value,6,Millions,4600,,0,Zero
DATAFLOW,OECD.CTP.TPS:DSD_REV_AFRICA@DF_REVCMR(2.0),Cameroon - tax and non-tax revenues,I,CMR,Cameroon,TAX_REV,Tax revenue,S13,General government,T_5113,Turnover and other general taxes on goods and services,_T,Total,XAF,CFA franc - BEAC,A,Annual,1999,,0,,A,Normal value,6,Millions,5113,,0,Zero
DATAFLOW,OECD.CTP.TPS:DSD_REV_AFRICA@DF_REVCMR(2.0),Cameroon - tax and non-tax revenues,I,CMR,Cameroon,TAX_REV,Tax revenue,S13,General government,T_2120,"Social security contributions (SSC) by employees, income tax basis",_T,Total,XAF,CFA franc - BEAC,A,Annual,1999,,0,,A,Normal value,6,Millions,2120,,0,Zero
DATAFLOW,OECD.CTP.TPS:DSD_REV_AFRICA@DF_REVCMR(2.0),Cameroon - tax and non-tax revenues,I,CMR,Cameroon,TAX_REV,Tax revenue,S13,General government,T_5112,Sales taxes,_T,Total,XAF,CFA franc - BEAC,A,Annual,1999,,0,,A,Normal value,6,Millions,5112,,0,Zero
DATAFLOW,OECD.CTP.TPS:DSD_REV_AFRICA@DF_REVCMR(2.0),Cameroon - tax and non-tax revenues,I,CMR,Cameroon,TAX_REV,Tax revenue,S13,General government,T_4200,Recurrent taxes on net wealth,_T,Total,XAF,CFA franc - BEAC,A,Annual,1999,,0,,A,Normal value,6,Millions,4200,,0,Zero
DATAFLOW,OECD.CTP.TPS:DSD_REV_AFRICA@DF_REVCMR(2.0),Cameroon - tax and non-tax revenues,I,CMR,Cameroon,TAX_REV,Tax revenue,S13,General government,T_5213,"Recurrent taxes on use of goods, or on permission to use goods or perform activities, other than motor vehicles",_T,Total,XAF,CFA franc - BEAC,A,Annual,1999,,0,,A,Normal value,6,Millions,5213,,0,Zero
DATAFLOW,OECD.CTP.TPS:DSD_REV_AFRICA@DF_REVCMR(2.0),Cameroon - tax and non-tax revenues,I,CMR,Cameroon,TAX_REV,Tax revenue,S13,General government,T_5125,Taxes on investment goods,_T,Total,XAF,CFA franc - BEAC,A,Annual,1999,,0,,A,Normal value,6,Millions,5125,,0,Zero
DATAFLOW,OECD.CTP.TPS:DSD_REV_AFRICA@DF_REVCMR(2.0),Cameroon - tax and non-tax revenues,I,CMR,Cameroon,TAX_REV,Tax revenue,S13,General government,T_5300,"Unallocable between taxes on production, sale, transfer, leasing and delivery of goods and rendering of services and taxes on use of goods, or on permission to use goods, or perform activities",_T,Total,XAF,CFA franc - BEAC,A,Annual,1999,,0,,A,Normal value,6,Millions,5300,,0,Zero
DATAFLOW,OECD.CTP.TPS:DSD_REV_AFRICA@DF_REVCMR(2.0),Cameroon - tax and non-tax revenues,I,CMR,Cameroon,TAX_REV,Tax revenue,S13,General government,T_4600,Other recurrent taxes on property,_T,Total,XAF,CFA franc - BEAC,A,Annual,1999,,0,,A,Normal value,6,Millions,4600,,0,Zero
DATAFLOW,OECD.CTP.TPS:DSD_REV_AFRICA@DF_REVCMR(2.0),Cameroon - tax and non-tax revenues,I,CMR,Cameroon,TAX_REV,Tax revenue,S13,General government,T_2420,"Social security contributions (SSC) unallocable between employees, employers and self-employed or non-employed, income tax basis",_T,Total,XAF,CFA franc - BEAC,A,Annual,1999,,0,,A,Normal value,6,Millions,2420,,0,Zero
DATAFLOW,OECD.CTP.TPS:DSD_REV_AFRICA@DF_REVCMR(2.0),Cameroon - tax and non-tax revenues,I,CMR,Cameroon,TAX_REV,Tax revenue,S13,General government,T_5122,Profits of fiscal monopolies,_T,Total,XAF,CFA franc - BEAC,A,Annual,1999,,0,,A,Normal value,6,Millions,5122,,0,Zero
DATAFLOW,OECD.CTP.TPS:DSD_REV_AFRICA@DF_REVCMR(2.0),Cameroon - tax and non-tax revenues,I,CMR,Cameroon,TAX_REV,Tax revenue,S13,General government,T_4300,"Estate, inheritance and gift taxes",_T,Total,XAF,CFA franc - BEAC,A,Annual,1999,,0,,A,Normal value,6,Millions,4300,,0,Zero
DATAFLOW,OECD.CTP.TPS:DSD_REV_AFRICA@DF_REVCMR(2.0),Cameroon - tax and non-tax revenues,I,CMR,Cameroon,TAX_REV,Tax revenue,S13,General government,T_5130,Unallocable between general taxes and taxes on specific goods and services,_T,Total,XAF,CFA franc - BEAC,A,Annual,1999,,0,,A,Normal value,6,Millions,5130,,0,Zero
DATAFLOW,OECD.CTP.TPS:DSD_REV_AFRICA@DF_REVCMR(2.0),Cameroon - tax and non-tax revenues,I,CMR,Cameroon,TAX_REV,Tax revenue,S13,General government,T_5127,Other taxes on international trade and transactions,_T,Total,XAF,CFA franc - BEAC,A,Annual,1999,,0,,A,Normal value,6,Millions,5127,,0,Zero
DATAFLOW,OECD.CTP.TPS:DSD_REV_AFRICA@DF_REVCMR(2.0),Cameroon - tax and non-tax revenues,I,CMR,Cameroon,TAX_REV,Tax revenue,S13,General government,T_5220,"Non-recurrent taxes on use of goods, or on permission to use goods, or perform activities",_T,Total,XAF,CFA franc - BEAC,A,Annual,1999,,0,,A,Normal value,6,Millions,5220,,0,Zero
DATAFLOW,OECD.CTP.TPS:DSD_REV_AFRICA@DF_REVCMR(2.0),Cameroon - tax and non-tax revenues,I,CMR,Cameroon,TAX_REV,Tax revenue,S13,General government,T_3000,Taxes on payroll and workforce,_T,Total,XAF,CFA franc - BEAC,A,Annual,2000,,0,,A,Normal value,6,Millions,3000,,0,Zero
DATAFLOW,OECD.CTP.TPS:DSD_REV_AFRICA@DF_REVCMR(2.0),Cameroon - tax and non-tax revenues,I,CMR,Cameroon,TAX_REV,Tax revenue,S13,General government,T_5130,Unallocable between general taxes and taxes on specific goods and services,_T,Total,XAF,CFA franc - BEAC,A,Annual,2000,,0,,A,Normal value,6,Millions,5130,,0,Zero
DATAFLOW,OECD.CTP.TPS:DSD_REV_AFRICA@DF_REVCMR(2.0),Cameroon - tax and non-tax revenues,I,CMR,Cameroon,TAX_REV,Tax revenue,S13,General government,T_5127,Other taxes on international trade and transactions,_T,Total,XAF,CFA franc - BEAC,A,Annual,2000,,0,,A,Normal value,6,Millions,5127,,0,Zero
DATAFLOW,OECD.CTP.TPS:DSD_REV_AFRICA@DF_REVCMR(2.0),Cameroon - tax and non-tax revenues,I,CMR,Cameroon,TAX_REV,Tax revenue,S13,General government,T_5220,"Non-recurrent taxes on use of goods, or on permission to use goods, or perform activities",_T,Total,XAF,CFA franc - BEAC,A,Annual,2000,,0,,A,Normal value,6,Millions,5220,,0,Zero
DATAFLOW,OECD.CTP.TPS:DSD_REV_AFRICA@DF_REVCMR(2.0),Cameroon - tax and non-tax revenues,I,CMR,Cameroon,TAX_REV,Tax revenue,S13,General government,T_6000,Other taxes,_T,Total,XAF,CFA franc - BEAC,A,Annual,2000,,0,,A,Normal value,6,Millions,6000,,0,Zero
DATAFLOW,OECD.CTP.TPS:DSD_REV_AFRICA@DF_REVCMR(2.0),Cameroon - tax and non-tax revenues,I,CMR,Cameroon,TAX_REV,Tax revenue,S13,General government,T_4300,"Estate, inheritance and gift taxes",_T,Total,XAF,CFA franc - BEAC,A,Annual,2000,,0,,A,Normal value,6,Millions,4300,,0,Zero
DATAFLOW,OECD.CTP.TPS:DSD_REV_AFRICA@DF_REVCMR(2.0),Cameroon - tax and non-tax revenues,I,CMR,Cameroon,TAX_REV,Tax revenue,S13,General government,T_5122,Profits of fiscal monopolies,_T,Total,XAF,CFA franc - BEAC,A,Annual,2000,,0,,A,Normal value,6,Millions,5122,,0,Zero
DATAFLOW,OECD.CTP.TPS:DSD_REV_AFRICA@DF_REVCMR(2.0),Cameroon - tax and non-tax revenues,I,CMR,Cameroon,TAX_REV,Tax revenue,S13,General government,T_2420,"Social security contributions (SSC) unallocable between employees, employers and self-employed or non-employed, income tax basis",_T,Total,XAF,CFA franc - BEAC,A,Annual,2000,,0,,A,Normal value,6,Millions,2420,,0,Zero
DATAFLOW,OECD.CTP.TPS:DSD_REV_AFRICA@DF_REVCMR(2.0),Cameroon - tax and non-tax revenues,I,CMR,Cameroon,TAX_REV,Tax revenue,S13,General government,T_5113,Turnover and other general taxes on goods and services,_T,Total,XAF,CFA franc - BEAC,A,Annual,2000,,0,,A,Normal value,6,Millions,5113,,0,Zero
DATAFLOW,OECD.CTP.TPS:DSD_REV_AFRICA@DF_REVCMR(2.0),Cameroon - tax and non-tax revenues,I,CMR,Cameroon,TAX_REV,Tax revenue,S13,General government,T_2120,"Social security contributions (SSC) by employees, income tax basis",_T,Total,XAF,CFA franc - BEAC,A,Annual,2000,,0,,A,Normal value,6,Millions,2120,,0,Zero
DATAFLOW,OECD.CTP.TPS:DSD_REV_AFRICA@DF_REVCMR(2.0),Cameroon - tax and non-tax revenues,I,CMR,Cameroon,TAX_REV,Tax revenue,S13,General government,T_5112,Sales taxes,_T,Total,XAF,CFA franc - BEAC,A,Annual,2000,,0,,A,Normal value,6,Millions,5112,,0,Zero
DATAFLOW,OECD.CTP.TPS:DSD_REV_AFRICA@DF_REVCMR(2.0),Cameroon - tax and non-tax revenues,I,CMR,Cameroon,TAX_REV,Tax revenue,S13,General government,T_5213,"Recurrent taxes on use of goods, or on permission to use goods or perform activities, other than motor vehicles",_T,Total,XAF,CFA franc - BEAC,A,Annual,2000,,0,,A,Normal value,6,Millions,5213,,0,Zero
DATAFLOW,OECD.CTP.TPS:DSD_REV_AFRICA@DF_REVCMR(2.0),Cameroon - tax and non-tax revenues,I,CMR,Cameroon,TAX_REV,Tax revenue,S13,General government,T_4200,Recurrent taxes on net wealth,_T,Total,XAF,CFA franc - BEAC,A,Annual,2000,,0,,A,Normal value,6,Millions,4200,,0,Zero
DATAFLOW,OECD.CTP.TPS:DSD_REV_AFRICA@DF_REVCMR(2.0),Cameroon - tax and non-tax revenues,I,CMR,Cameroon,TAX_REV,Tax revenue,S13,General government,T_5125,Taxes on investment goods,_T,Total,XAF,CFA franc - BEAC,A,Annual,2000,,0,,A,Normal value,6,Millions,5125,,0,Zero
DATAFLOW,OECD.CTP.TPS:DSD_REV_AFRICA@DF_REVCMR(2.0),Cameroon - tax and non-tax revenues,I,CMR,Cameroon,TAX_REV,Tax revenue,S13,General government,T_5300,"Unallocable between taxes on production, sale, transfer, leasing and delivery of goods and rendering of services and taxes on use of goods, or on permission to use goods, or perform activities",_T,Total,XAF,CFA franc - BEAC,A,Annual,2000,,0,,A,Normal value,6,Millions,5300,,0,Zero
DATAFLOW,OECD.CTP.TPS:DSD_REV_AFRICA@DF_REVCMR(2.0),Cameroon - tax and non-tax revenues,I,CMR,Cameroon,TAX_REV,Tax revenue,S13,General government,T_4600,Other recurrent taxes on property,_T,Total,XAF,CFA franc - BEAC,A,Annual,2000,,0,,A,Normal value,6,Millions,4600,,0,Zero
DATAFLOW,OECD.CTP.TPS:DSD_REV_AFRICA@DF_REVCMR(2.0),Cameroon - tax and non-tax revenues,I,CMR,Cameroon,TAX_REV,Tax revenue,S13,General government,T_5113,Turnover and other general taxes on goods and services,_T,Total,XAF,CFA franc - BEAC,A,Annual,2001,,0,,A,Normal value,6,Millions,5113,,0,Zero
DATAFLOW,OECD.CTP.TPS:DSD_REV_AFRICA@DF_REVCMR(2.0),Cameroon - tax and non-tax revenues,I,CMR,Cameroon,TAX_REV,Tax revenue,S13,General government,T_2120,"Social security contributions (SSC) by employees, income tax basis",_T,Total,XAF,CFA franc - BEAC,A,Annual,2001,,0,,A,Normal value,6,Millions,2120,,0,Zero
DATAFLOW,OECD.CTP.TPS:DSD_REV_AFRICA@DF_REVCMR(2.0),Cameroon - tax and non-tax revenues,I,CMR,Cameroon,TAX_REV,Tax revenue,S13,General government,T_5112,Sales taxes,_T,Total,XAF,CFA franc - BEAC,A,Annual,2001,,0,,A,Normal value,6,Millions,5112,,0,Zero
DATAFLOW,OECD.CTP.TPS:DSD_REV_AFRICA@DF_REVCMR(2.0),Cameroon - tax and non-tax revenues,I,CMR,Cameroon,TAX_REV,Tax revenue,S13,General government,T_4200,Recurrent taxes on net wealth,_T,Total,XAF,CFA franc - BEAC,A,Annual,2001,,0,,A,Normal value,6,Millions,4200,,0,Zero
DATAFLOW,OECD.CTP.TPS:DSD_REV_AFRICA@DF_REVCMR(2.0),Cameroon - tax and non-tax revenues,I,CMR,Cameroon,TAX_REV,Tax revenue,S13,General government,T_5213,"Recurrent taxes on use of goods, or on permission to use goods or perform activities, other than motor vehicles",_T,Total,XAF,CFA franc - BEAC,A,Annual,2001,,0,,A,Normal value,6,Millions,5213,,0,Zero
DATAFLOW,OECD.CTP.TPS:DSD_REV_AFRICA@DF_REVCMR(2.0),Cameroon - tax and non-tax revenues,I,CMR,Cameroon,TAX_REV,Tax revenue,S13,General government,T_5125,Taxes on investment goods,_T,Total,XAF,CFA franc - BEAC,A,Annual,2001,,0,,A,Normal value,6,Millions,5125,,0,Zero
DATAFLOW,OECD.CTP.TPS:DSD_REV_AFRICA@DF_REVCMR(2.0),Cameroon - tax and non-tax revenues,I,CMR,Cameroon,TAX_REV,Tax revenue,S13,General government,T_5300,"Unallocable between taxes on production, sale, transfer, leasing and delivery of goods and rendering of services and taxes on use of goods, or on permission to use goods, or perform activities",_T,Total,XAF,CFA franc - BEAC,A,Annual,2001,,0,,A,Normal value,6,Millions,5300,,0,Zero
DATAFLOW,OECD.CTP.TPS:DSD_REV_AFRICA@DF_REVCMR(2.0),Cameroon - tax and non-tax revenues,I,CMR,Cameroon,TAX_REV,Tax revenue,S13,General government,T_6000,Other taxes,_T,Total,XAF,CFA franc - BEAC,A,Annual,2001,,0,,A,Normal value,6,Millions,6000,,0,Zero
DATAFLOW,OECD.CTP.TPS:DSD_REV_AFRICA@DF_REVCMR(2.0),Cameroon - tax and non-tax revenues,I,CMR,Cameroon,TAX_REV,Tax revenue,S13,General government,T_4600,Other recurrent taxes on property,_T,Total,XAF,CFA franc - BEAC,A,Annual,2001,,0,,A,Normal value,6,Millions,4600,,0,Zero
DATAFLOW,OECD.CTP.TPS:DSD_REV_AFRICA@DF_REVCMR(2.0),Cameroon - tax and non-tax revenues,I,CMR,Cameroon,TAX_REV,Tax revenue,S13,General government,T_2420,"Social security contributions (SSC) unallocable between employees, employers and self-employed or non-employed, income tax basis",_T,Total,XAF,CFA franc - BEAC,A,Annual,2001,,0,,A,Normal value,6,Millions,2420,,0,Zero
DATAFLOW,OECD.CTP.TPS:DSD_REV_AFRICA@DF_REVCMR(2.0),Cameroon - tax and non-tax revenues,I,CMR,Cameroon,TAX_REV,Tax revenue,S13,General government,T_5122,Profits of fiscal monopolies,_T,Total,XAF,CFA franc - BEAC,A,Annual,2001,,0,,A,Normal value,6,Millions,5122,,0,Zero
DATAFLOW,OECD.CTP.TPS:DSD_REV_AFRICA@DF_REVCMR(2.0),Cameroon - tax and non-tax revenues,I,CMR,Cameroon,TAX_REV,Tax revenue,S13,General government,T_4300,"Estate, inheritance and gift taxes",_T,Total,XAF,CFA franc - BEAC,A,Annual,2001,,0,,A,Normal value,6,Millions,4300,,0,Zero
DATAFLOW,OECD.CTP.TPS:DSD_REV_AFRICA@DF_REVCMR(2.0),Cameroon - tax and non-tax revenues,I,CMR,Cameroon,TAX_REV,Tax revenue,S13,General government,T_5130,Unallocable between general taxes and taxes on specific goods and services,_T,Total,XAF,CFA franc - BEAC,A,Annual,2001,,0,,A,Normal value,6,Millions,5130,,0,Zero
DATAFLOW,OECD.CTP.TPS:DSD_REV_AFRICA@DF_REVCMR(2.0),Cameroon - tax and non-tax revenues,I,CMR,Cameroon,TAX_REV,Tax revenue,S13,General government,T_5127,Other taxes on international trade and transactions,_T,Total,XAF,CFA franc - BEAC,A,Annual,2001,,0,,A,Normal value,6,Millions,5127,,0,Zero
